virus_unid	human_unid	pred_score
P24994	P55064	0.028
P24994	O00155	0.017
P24994	A0A0C4DH55	0.031
P24994	P06028	0.043
P24994	A0A0C4DH59	0.029
P24994	Q99624	0.030
P24994	Q14714	0.027
P24994	Q96CW9	0.021
P24994	Q9H244	0.025
P24994	Q96JJ6	0.039
P24994	P51686	0.029
P24994	Q9BPV8	0.025
P24994	Q8N4C7	0.037
P24994	P56750	0.029
P24994	A0A5A6	0.036
P24994	O00591	0.038
P24994	Q8NBV8	0.031
P24994	P21918	0.015
P24994	P57764	0.028
P24994	A0A075B6X5	0.028
P24994	O95069	0.047
P24994	P49841	0.036
P24994	P08588	0.019
P24994	Q96PL2	0.022
P24994	P60201	0.024
P24994	Q9H209	0.017
P24994	O00574	0.013
P24994	P02786	0.059
P24994	Q07021	0.057
P24994	Q8IZA0	0.037
P24994	A0A087WT02	0.031
P24994	Q9BZW8	0.035
P24994	Q9BY10	0.025
P24994	Q9Y5Y3	0.021
P24994	Q9UKL4	0.035
P24994	P14222	0.023
P24994	P42081	0.025
P24994	O14514	0.033
P24994	Q03431	0.047
P24994	P01116	0.047
P24994	Q8WWQ8	0.049
P24994	P32302	0.020
P24994	Q9P232	0.051
P24994	P60880	0.070
P24994	P04433	0.031
P24994	Q969P0	0.017
P24994	Q9UKP6	0.016
P24994	Q9Y6Q6	0.027
P24994	Q8NCK7	0.019
P24994	Q8TD46	0.023
P24994	Q9HBW0	0.017
P24994	Q99527	0.022
P24994	Q9UN74	0.033
P24994	P35590	0.032
P24994	P56880	0.032
P24994	P15260	0.041
P24994	P41597	0.028
P24994	P08571	0.023
P24994	Q8TCQ1	0.024
P24994	P20701	0.037
P24994	P48023	0.028
P24994	Q92956	0.029
P24994	P01780	0.044
P24994	Q8IVV8	0.027
P24994	P07333	0.044
P24994	Q9NT99	0.040
P24994	P61952	0.043
P24994	O43451	0.041
P24994	P49407	0.046
P24994	P11142	0.109
P24994	Q01726	0.020
P24994	Q14833	0.045
P24994	Q8NGU9	0.020
P24994	Q15761	0.018
P24994	A8K7I4	0.033
P24994	A0A087WSZ0	0.028
P24994	A0A0B4J244	0.033
P24994	B6A8C7	0.033
P24994	Q99603	0.039
P24994	Q9NQX3	0.060
P24994	P35348	0.023
P24994	Q14002	0.030
P24994	P0DP08	0.033
P24994	P41594	0.035
P24994	Q12836	0.017
P24994	Q9GZV3	0.031
P24994	Q8NHA6	0.019
P24994	Q7Z5A4	0.023
P24994	P08887	0.018
P24994	O15394	0.046
P24994	O15427	0.026
P24994	P40238	0.017
P24994	O43493	0.041
P24994	Q19T08	0.035
P24994	A0A0A0MT76	0.037
P24994	Q13698	0.049
P24994	P47871	0.014
P24994	P51801	0.025
P24994	O00212	0.038
P24994	Q8NG11	0.029
P24994	Q9BWQ8	0.021
P24994	Q9H1C0	0.021
P24994	P04216	0.027
P24994	P31323	0.053
P24994	A0A075B6I6	0.029
P24994	P49281	0.025
P24994	Q9NR16	0.043
P24994	A0A1B0GX51	0.037
P24994	P54756	0.047
P24994	P61550	0.021
P24994	Q15768	0.035
P24994	Q9NS67	0.021
P24994	Q9NSA0	0.019
P24994	O75581	0.036
P24994	P25103	0.022
P24994	P08473	0.063
P24994	P37088	0.039
P24994	P09104	0.066
P24994	P16234	0.043
P24994	Q9BZJ7	0.018
P24994	Q2M3R5	0.023
P24994	O43193	0.021
P24994	P60508	0.020
P24994	Q8WUM9	0.035
P24994	P08173	0.041
P24994	P84095	0.036
P24994	Q8NGF9	0.015
P24994	Q8TDS5	0.021
P24994	P31751	0.047
P24994	P53708	0.033
P24994	Q6ZS10	0.035
P24994	Q9NNX6	0.033
P24994	A0A0G2JS06	0.025
P24994	Q02413	0.053
P24994	Q7Z444	0.035
P24994	P21964	0.035
P24994	Q6YHK3	0.027
P24994	Q8N3J6	0.025
P24994	O14804	0.024
P24994	P43088	0.033
P24994	P60852	0.019
P24994	P08195	0.045
P24994	A0A075B6K5	0.026
P24994	Q9UMF0	0.024
P24994	O14610	0.045
P24994	P59768	0.046
P24994	P61077	0.052
P24994	P35232	0.045
P24994	P48167	0.046
P24994	P49771	0.024
P24994	A0A075B6W5	0.047
P24994	P24394	0.033
P24994	Q13740	0.034
P24994	P06241	0.071
P24994	P27701	0.027
P24994	Q8IWU6	0.039
P24994	O43914	0.027
P24994	Q86YL7	0.047
P24994	P46721	0.021
P24994	P29466	0.039
P24994	P01871	0.021
P24994	P58181	0.015
P24994	Q96E93	0.024
P24994	O75508	0.029
P24994	P29474	0.031
P24994	Q15375	0.037
P24994	P25021	0.020
P24994	A0A075B6K0	0.031
P24994	Q8TDM5	0.025
P24994	Q10589	0.044
P24994	P62491	0.053
P24994	Q99062	0.029
P24994	P01709	0.036
P24994	Q13336	0.019
P24994	Q7Z7D3	0.032
P24994	Q15743	0.025
P24994	P30939	0.026
P24994	Q9NYB5	0.019
P24994	P47883	0.012
P24994	P30872	0.028
P24994	Q8NGC2	0.009
P24994	O60412	0.009
P24994	O95183	0.047
P24994	Q9BRK3	0.029
P24994	Q99523	0.039
P24994	A0A0C4DH38	0.047
P24994	P48357	0.046
P24994	P35414	0.019
P24994	A0A0A6YYK7	0.048
P24994	Q9Y572	0.049
P24994	P06858	0.031
P24994	Q8NGP2	0.013
P24994	O95497	0.017
P24994	Q9NV96	0.052
P24994	Q13241	0.028
P24994	Q8IV16	0.027
P24994	Q9UBL9	0.023
P24994	O00161	0.068
P24994	P01854	0.028
P24994	A0A075B6R2	0.040
P24994	Q9H9S5	0.029
P24994	P30542	0.016
P24994	Q13491	0.031
P24994	Q9NX77	0.024
P24994	Q01650	0.023
P24994	Q96DU3	0.031
P24994	Q14254	0.075
P24994	Q9BXJ7	0.024
P24994	P50443	0.039
P24994	P55290	0.053
P24994	P30530	0.049
P24994	A0A0B4J273	0.041
P24994	Q8TDU6	0.024
P24994	P30273	0.041
P24994	P14735	0.066
P24994	P01699	0.026
P24994	P49682	0.027
P24994	O00159	0.048
P24994	Q12913	0.043
P24994	P29016	0.033
P24994	A0M8Q6	0.033
P24994	P17931	0.052
P24994	Q68D85	0.037
P24994	O43157	0.037
P24994	P13762	0.026
P24994	A0A0B4J240	0.038
P24994	Q8NA29	0.027
P24994	Q9Y5Q5	0.039
P24994	P56746	0.025
P24994	A0A0B4J249	0.033
P24994	P06733	0.081
P24994	P01911	0.027
P24994	P51160	0.043
P24994	P01772	0.035
P24994	P01743	0.038
P24994	Q8NGL9	0.009
P24994	P46663	0.021
P24994	Q7Z3B1	0.025
P24994	O60488	0.059
P24994	P08865	0.041
P24994	P43657	0.017
P24994	Q86UE6	0.025
P24994	P05023	0.071
P24994	A0A075B6S9	0.034
P24994	Q9BTN0	0.024
P24994	P01880	0.029
P24994	Q6UXB4	0.028
P24994	Q8TBE7	0.034
P24994	P25100	0.020
P24994	Q16445	0.023
P24994	Q9H4E5	0.046
P24994	P13473	0.032
P24994	Q08881	0.053
P24994	Q8WWA0	0.030
P24994	Q9Y271	0.017
P24994	Q92637	0.027
P24994	Q86Y78	0.021
P24994	Q96MU8	0.035
P24994	Q9GZZ7	0.019
P24994	Q9ULV4	0.043
P24994	P49190	0.021
P24994	A0A087WT01	0.039
P24994	Q5T442	0.033
P24994	P35368	0.019
P24994	Q9HBW9	0.021
P24994	P15391	0.033
P24994	P17948	0.031
P24994	Q9Y275	0.042
P24994	O95484	0.023
P24994	P61020	0.055
P24994	P0DSN7	0.031
P24994	Q9H228	0.021
P24994	O15551	0.025
P24994	P07911	0.028
P24994	P59922	0.016
P24994	A0A0C4DH68	0.041
P24994	Q53GD3	0.018
P24994	Q7RTY0	0.021
P24994	P01860	0.024
P24994	P14784	0.023
P24994	Q08828	0.053
P24994	P01602	0.030
P24994	O00299	0.042
P24994	Q9BRT3	0.055
P24994	P51157	0.053
P24994	P28223	0.018
P24994	Q8WY07	0.029
P24994	Q9H2Y9	0.019
P24994	P23083	0.040
P24994	O60500	0.023
P24994	P62834	0.058
P24994	Q12974	0.053
P24994	Q99467	0.028
P24994	P00918	0.040
P24994	O95274	0.027
P24994	P0CF74	0.033
P24994	A0A0B4J279	0.039
P24994	P54753	0.043
P24994	P01718	0.031
P24994	P16410	0.023
P24994	Q8NGY0	0.015
P24994	P0CG37	0.020
P24994	Q9UJU6	0.051
P24994	P0DP06	0.037
P24994	P19440	0.044
P24994	P43119	0.019
P24994	Q9UN72	0.031
P24994	Q86SQ4	0.027
P24994	P31391	0.021
P24994	P01763	0.035
P24994	P30874	0.032
P24994	Q9NQS3	0.054
P24994	Q8TCY5	0.025
P24994	Q8TDU9	0.018
P24994	Q7Z6A9	0.023
P24994	Q8N6F1	0.025
P24994	O75015	0.021
P24994	A0A075B6N1	0.028
P24994	P30556	0.022
P24994	Q0VAQ4	0.036
P24994	Q13449	0.027
P24994	O75144	0.020
P24994	Q8NGN8	0.015
P24994	Q9BXU9	0.051
P24994	P05556	0.084
P24994	Q9NSD7	0.024
P24994	Q12864	0.035
P24994	P49019	0.023
P24994	P52797	0.031
P24994	Q8TAF8	0.034
P24994	P07237	0.075
P24994	P25089	0.019
P24994	P07766	0.033
P24994	Q9NP59	0.039
P24994	P0DPF7	0.032
P24994	Q08462	0.041
P24994	Q02487	0.038
P24994	Q12884	0.021
P24994	Q14677	0.055
P24994	Q9UIQ6	0.043
P24994	A0A0C4DH39	0.034
P24994	Q9H3T3	0.027
P24994	Q14956	0.036
P24994	P0DP04	0.041
P24994	Q13258	0.025
P24994	A0A599	0.036
P24994	Q9Y5H9	0.038
P24994	P60033	0.040
P24994	P52569	0.025
P24994	Q13685	0.047
P24994	P25105	0.014
P24994	O43820	0.017
P24994	P19320	0.039
P24994	Q8NHP6	0.029
P24994	O75882	0.035
P24994	Q494U1	0.025
P24994	P22888	0.021
P24994	Q04721	0.059
P24994	Q96RI8	0.022
P24994	P30559	0.021
P24994	Q96GD0	0.025
P24994	Q9NSI5	0.031
P24994	P12821	0.049
P24994	P04440	0.024
P24994	Q9UKP4	0.041
P24994	P01857	0.025
P24994	P06756	0.053
P24994	O14894	0.022
P24994	Q8TD84	0.055
P24994	Q9HB89	0.019
P24994	Q8NGD3	0.011
P24994	A1KXE4	0.041
P24994	Q8IZP9	0.030
P24994	Q8NGX3	0.012
P24994	P55283	0.041
P24994	P04626	0.043
P24994	Q15391	0.019
P24994	A0A0B4J1V7	0.031
P24994	A0A0C4DH73	0.028
P24994	P48546	0.015
P24994	O94779	0.032
P24994	O95907	0.020
P24994	Q9P258	0.081
P24994	P21730	0.027
P24994	Q96G91	0.018
P24994	P01877	0.024
P24994	Q9Y694	0.019
P24994	P25705	0.060
P24994	P82279	0.043
P24994	Q86UN2	0.020
P24994	P01700	0.027
P24994	Q5HYA8	0.033
P24994	Q99732	0.033
P24994	Q86Y34	0.022
P24994	A0A584	0.042
P24994	Q96A25	0.031
P24994	P12830	0.049
P24994	P11169	0.039
P24994	P42857	0.037
P24994	A6NL08	0.012
P24994	P62166	0.057
P24994	Q2I0M4	0.017
P24994	P01732	0.023
P24994	P25090	0.026
P24994	Q86YD3	0.022
P24994	P11215	0.036
P24994	Q14623	0.026
P24994	P56747	0.026
P24994	Q8N7C0	0.026
P24994	P10636	0.047
P24994	P01138	0.033
P24994	A0A0B4J1V0	0.042
P24994	P78333	0.028
P24994	Q96BD0	0.015
P24994	O95498	0.025
P24994	Q9Y490	0.059
P24994	A0A589	0.027
P24994	P08172	0.053
P24994	Q13639	0.027
P24994	P16284	0.029
P24994	Q15077	0.021
P24994	Q8IYL9	0.024
P24994	A0A0B4J280	0.043
P24994	P08912	0.036
P24994	A0A0A0MS15	0.041
P24994	O14786	0.045
P24994	P08754	0.046
P24994	Q6UW56	0.024
P24994	P17302	0.033
P24994	P35462	0.022
P24994	B7Z8K6	0.041
P24994	Q8TDB8	0.032
P24994	P25942	0.030
P24994	Q6QNK2	0.025
P24994	Q14416	0.024
P24994	P17927	0.033
P24994	Q96DZ5	0.036
P24994	Q8NET5	0.034
P24994	P24158	0.023
P24994	P28222	0.024
P24994	Q9NY64	0.020
P24994	Q8N127	0.008
P24994	Q9P121	0.032
P24994	O95711	0.030
P24994	Q13492	0.062
P24994	P0C7T2	0.007
P24994	Q16620	0.042
P24994	Q86UG4	0.034
P24994	Q8WTT0	0.027
P24994	P25106	0.022
P24994	P11279	0.031
P24994	Q9NZQ7	0.031
P24994	Q15615	0.011
P24994	Q9NS93	0.022
P24994	P29972	0.027
P24994	Q8NFA2	0.027
P24994	Q8N158	0.029
P24994	P48146	0.032
P24994	O95136	0.017
P24994	A0A0B4J264	0.039
P24994	P63096	0.055
P24994	Q9Y6I3	0.047
P24994	P01721	0.023
P24994	Q8NGL4	0.013
P24994	A0A0K0K1A5	0.041
P24994	P40617	0.048
P24994	Q9H9K5	0.023
P24994	P46095	0.021
P24994	P14151	0.027
P24994	P25101	0.021
P24994	P42262	0.049
P24994	Q05586	0.059
P24994	A0A539	0.026
P24994	Q86SP6	0.031
P24994	P61006	0.059
P24994	Q86SM5	0.019
P24994	Q9H3T2	0.033
P24994	Q6ZSM3	0.025
P24994	P29317	0.042
P24994	Q695T7	0.025
P24994	P43004	0.046
P24994	P15151	0.027
P24994	Q8N912	0.022
P24994	P17081	0.043
P24994	Q969K3	0.033
P24994	P20036	0.029
P24994	P21731	0.017
P24994	P01767	0.037
P24994	Q9HC56	0.049
P24994	P22897	0.049
P24994	P01701	0.027
P24994	Q8N387	0.031
P24994	Q9UQD0	0.041
P24994	Q86YS7	0.049
P24994	O95858	0.032
P24994	P10747	0.027
P24994	O95832	0.032
P24994	A0A0B4J1V1	0.042
P24994	P01909	0.029
P24994	Q9Y5I2	0.039
P24994	Q5T1S8	0.039
P24994	P27487	0.049
P24994	P35499	0.037
P24994	O60469	0.045
P24994	Q96P68	0.019
P24994	Q86VW1	0.019
P24994	P07996	0.047
P24994	A0A075B6I4	0.029
P24994	P16581	0.023
P24994	Q8NGZ6	0.014
P24994	P56373	0.036
P24994	Q8WXD0	0.024
P24994	Q6ZSA7	0.030
P24994	P20916	0.043
P24994	P51172	0.013
P24994	Q9H0M0	0.101
P24994	P41231	0.020
P24994	Q99250	0.043
P24994	Q9GZQ6	0.023
P24994	P0CF51	0.033
P24994	Q6UXD5	0.051
P24994	Q9H400	0.030
P24994	A0A0C4DH31	0.027
P24994	Q8IUH5	0.043
P24994	P25929	0.022
P24994	Q969Z4	0.029
P24994	Q96AP7	0.025
P24994	P33681	0.026
P24994	P18627	0.021
P24994	A0A0B4J268	0.051
P24994	P04233	0.027
P24994	Q9HBX8	0.025
P24994	Q96FE5	0.046
P24994	Q9UM73	0.066
P24994	P09958	0.035
P24994	P42892	0.043
P24994	Q96QU1	0.051
P24994	P00505	0.053
P24994	Q08209	0.057
P24994	Q96GZ6	0.017
P24994	P42702	0.045
P24994	Q15223	0.057
P24994	Q12959	0.113
P24994	O94973	0.065
P24994	Q9NZ20	0.031
P24994	O00186	0.061
P24994	Q8TE23	0.026
P24994	O14843	0.019
P24994	Q15722	0.019
P24994	Q8NH41	0.009
P24994	P29371	0.029
P24994	Q14126	0.045
P24994	O00499	0.060
P24994	P34981	0.026
P24994	Q8NH73	0.011
P24994	Q9HBG7	0.029
P24994	Q969L2	0.021
P24994	P01814	0.034
P24994	P11229	0.033
P24994	Q8NGL1	0.015
P24994	Q9NR71	0.033
P24994	P18564	0.037
P24994	P29322	0.030
P24994	P51674	0.033
P24994	A0A0C4DH34	0.036
P24994	P01737	0.031
P24994	P43403	0.041
P24994	A0A075B6V5	0.031
P24994	Q29980	0.019
P24994	Q9UI33	0.055
P24994	Q9UBH6	0.029
P24994	Q9Y6W8	0.029
P24994	P13861	0.049
P24994	P80723	0.049
P24994	P19022	0.047
P24994	P01111	0.055
P24994	O75899	0.031
P24994	P26992	0.037
P24994	P34969	0.024
P24994	Q96J02	0.123
P24994	P41181	0.027
P24994	Q9UGF6	0.014
P24994	Q9ULC0	0.043
P24994	P43489	0.019
P24994	Q9HCN6	0.021
P24994	Q14CN2	0.033
P24994	P29320	0.042
P24994	Q86UT5	0.021
P24994	P51153	0.047
P24994	P41586	0.024
P24994	Q92743	0.046
P24994	P21453	0.019
P24994	P25025	0.018
P24994	P56559	0.045
P24994	O43315	0.035
P24994	P16422	0.040
P24994	Q8N6Q3	0.027
P24994	Q8IYS5	0.018
P24994	Q7Z2H8	0.017
P24994	Q9NY26	0.022
P24994	Q8NC96	0.055
P24994	Q9Y5U5	0.027
P24994	Q8NBP7	0.019
P24994	Q9BYF1	0.041
P24994	Q9NQS5	0.028
P24994	P40259	0.048
P24994	P31641	0.026
P24994	Q8NGG0	0.011
P24994	P23634	0.074
P24994	O43557	0.027
P24994	Q9BY15	0.023
P24994	Q86VE9	0.021
P24994	Q13153	0.077
P24994	Q6W5P4	0.026
P24994	Q5IJ48	0.034
P24994	P03979	0.029
P24994	Q9ULV1	0.035
P24994	P40189	0.062
P24994	A0A0B4J1X5	0.041
P24994	Q9Y6Y9	0.029
P24994	Q14982	0.030
P24994	Q01959	0.028
P24994	O43603	0.023
P24994	Q03135	0.034
P24994	P32245	0.016
P24994	Q9Y5L3	0.024
P24994	P46092	0.020
P24994	O43653	0.033
P24994	Q14247	0.081
P24994	Q13733	0.055
P24994	P46094	0.017
P24994	A0A0J9YXX1	0.037
P24994	P08637	0.025
P24994	P62070	0.059
P24994	Q8IZF2	0.020
P24994	P38567	0.041
P24994	Q9P2J2	0.040
P24994	P35408	0.023
P24994	P55286	0.048
P24994	P08575	0.064
P24994	P08138	0.021
P24994	Q6PCB8	0.029
P24994	O43511	0.031
P24994	P34998	0.017
P24994	Q13177	0.060
P24994	P43115	0.018
P24994	P30825	0.032
P24994	O60235	0.025
P24994	P21917	0.015
P24994	Q06418	0.039
P24994	Q13530	0.018
P24994	Q16653	0.029
P24994	A0A075B6J9	0.031
P24994	Q02246	0.043
P24994	P16452	0.029
P24994	Q9BXM0	0.043
P24994	P78310	0.042
P24994	O60896	0.035
P24994	P68104	0.089
P24994	Q4U2R8	0.023
P24994	P23229	0.049
P24994	Q9UBS5	0.043
P24994	Q9BZ76	0.037
P24994	P37173	0.039
P24994	Q6UXZ3	0.035
P24994	Q8NFK1	0.025
P24994	Q8NCT1	0.031
P24994	Q5VWK5	0.031
P24994	Q01628	0.034
P24994	Q6ZTQ4	0.039
P24994	P32247	0.021
P24994	Q96DA2	0.057
P24994	P51148	0.057
P24994	Q86UN3	0.023
P24994	P49146	0.026
P24994	Q9BZM5	0.039
P24994	P28336	0.027
P24994	Q4KMG0	0.033
P24994	Q92673	0.045
P24994	Q96L33	0.041
P24994	A0A075B6R9	0.037
P24994	Q9Y5Y9	0.053
P24994	Q7Z553	0.039
P24994	P31994	0.028
P24994	Q9BY67	0.035
P24994	P0DP03	0.038
P24994	Q8NGL2	0.011
P24994	Q969V1	0.035
P24994	P09693	0.039
P24994	Q08722	0.037
P24994	P06239	0.061
P24994	Q4V9L6	0.047
P24994	P51582	0.019
P24994	P01848	0.037
P24994	P14672	0.037
P24994	A8MXK1	0.037
P24994	Q99519	0.025
P24994	P0DQD5	0.018
P24994	P32241	0.020
P24994	Q8IZY2	0.047
P24994	P57739	0.019
P24994	O60931	0.023
P24994	P0DP01	0.033
P24994	P01889	0.037
P24994	Q16602	0.021
P24994	Q13237	0.053
P24994	Q9NY84	0.033
P24994	P61073	0.018
P24994	Q96JP9	0.042
P24994	P31997	0.026
P24994	Q16581	0.027
P24994	P01834	0.043
P24994	Q8NGU1	0.013
P24994	Q14964	0.045
P24994	P46531	0.046
P24994	Q96RI0	0.019
P24994	Q9UM01	0.023
P24994	P20023	0.041
P24994	O43614	0.016
P24994	O76050	0.036
P24994	P22607	0.034
P24994	P06213	0.059
P24994	Q9GZY6	0.037
P24994	P32238	0.031
P24994	P14410	0.052
P24994	Q8IWT1	0.045
P24994	Q9UMX0	0.059
P24994	Q9Y5Z0	0.027
P24994	P48551	0.042
P24994	Q9BY79	0.027
P24994	P14415	0.043
P24994	A0A0C4DH67	0.026
P24994	Q5T2D2	0.025
P24994	P08069	0.045
P24994	Q9BX97	0.041
P24994	P03986	0.040
P24994	O43490	0.037
P24994	Q09428	0.039
P24994	Q9Y5G7	0.031
P24994	Q93038	0.024
P24994	A0A0J9YVY3	0.035
P24994	Q9UPR5	0.049
P24994	Q9BXB1	0.022
P24994	A0A0A6YYG3	0.039
P24994	O43318	0.050
P24994	P22303	0.028
P24994	P21554	0.023
P24994	Q13291	0.036
P24994	A0A087WSY4	0.033
P24994	Q8NH89	0.013
P24994	Q8NFT8	0.042
P24994	Q9NZV1	0.044
P24994	P35222	0.076
P24994	A0A0J9YXY3	0.035
P24994	Q9Y265	0.109
P24994	A0A0C4DH29	0.039
P24994	Q08174	0.047
P24994	P14555	0.031
P24994	Q8NFJ6	0.038
P24994	P22223	0.045
P24994	P31785	0.019
P24994	P16109	0.025
P24994	Q7RTP0	0.025
P24994	P78369	0.040
P24994	P13637	0.067
P24994	P08908	0.026
P24994	Q92847	0.019
P24994	Q01113	0.019
P24994	Q8WTV0	0.037
P24994	Q49SQ1	0.016
P24994	P57087	0.025
P24994	P29323	0.045
P24994	P28908	0.017
P24994	P26012	0.033
P24994	Q9UNW8	0.025
P24994	Q8NHG8	0.029
P24994	P43116	0.017
P24994	P54760	0.037
P24994	Q16720	0.073
P24994	P31644	0.036
P24994	P10721	0.042
P24994	O43895	0.045
P24994	Q14108	0.038
P24994	P54764	0.057
P24994	Q13319	0.042
P24994	A0A0A6YYG2	0.038
P24994	P41595	0.036
P24994	P05106	0.059
P24994	P25063	0.029
P24994	P08962	0.034
P24994	P13498	0.029
P24994	P0DP02	0.035
P24994	Q15758	0.043
P24994	Q07699	0.037
P24994	Q08554	0.038
P24994	P18825	0.019
P24994	P63027	0.049
P24994	Q7Z6M3	0.025
P24994	Q9Y2T6	0.019
P24994	A0JD32	0.037
P24994	O95057	0.065
P24994	Q04844	0.033
P24994	A0A0C4DH33	0.043
P24994	Q8N149	0.028
P24994	Q8TF71	0.027
P24994	P15509	0.033
P24994	P49286	0.019
P24994	P29275	0.014
P24994	P00747	0.030
P24994	Q16518	0.041
P24994	Q96Q06	0.048
P24994	Q9HBH0	0.037
P24994	Q9UIG8	0.037
P24994	Q8ND76	0.032
P24994	O43300	0.021
P24994	A0A0B4J277	0.030
P24994	O95754	0.015
P24994	Q9P1P5	0.016
P24994	P11166	0.042
P24994	Q8NAC3	0.017
P24994	P30203	0.039
P24994	A0A0B4J1V2	0.033
P24994	Q02763	0.049
P24994	Q8NGE5	0.012
P24994	P01112	0.055
P24994	Q16570	0.015
P24994	Q96LA5	0.033
P24994	Q6UXB3	0.031
P24994	Q6UXZ0	0.029
P24994	P01705	0.027
P24994	P05026	0.053
P24994	P43003	0.034
P24994	P10301	0.036
P24994	P58335	0.038
P24994	P51679	0.017
P24994	P55285	0.045
P24994	O95264	0.028
P24994	H7C241	0.034
P24994	P30301	0.031
P24994	P25445	0.041
P24994	Q86Y22	0.045
P24994	P08648	0.049
P24994	P51684	0.023
P24994	Q9Y624	0.030
P24994	Q92737	0.032
P24994	P49903	0.048
P24994	Q9HD43	0.049
P24994	Q969N4	0.018
P24994	O00254	0.028
P24994	P06331	0.040
P24994	Q92692	0.023
P24994	Q86YC3	0.031
P24994	P22694	0.055
P24994	Q8N8Q9	0.031
P24994	P08183	0.031
P24994	Q9NP90	0.047
P24994	Q13607	0.014
P24994	Q9Y2C5	0.016
P24994	P20339	0.053
P24994	P41240	0.049
P24994	Q8NGB2	0.017
P24994	Q9NP99	0.031
P24994	Q9BYE9	0.032
P24994	A0A1B0GX95	0.039
P24994	O43323	0.030
P24994	A0A0B4J238	0.044
P24994	P42261	0.035
P24994	O00548	0.031
P24994	Q15116	0.023
P24994	Q9UBY5	0.022
P24994	Q86UD5	0.031
P24994	P25116	0.028
P24994	P07947	0.056
P24994	A0A0B4J1V6	0.039
P24994	Q99653	0.045
P24994	P19438	0.026
P24994	A0A0A0MS00	0.034
P24994	A6BM72	0.016
P24994	Q5VV43	0.031
P24994	Q9HBX9	0.033
P24994	A0A0A6YYC5	0.037
P24994	P09769	0.059
P24994	P30550	0.021
P24994	A0A075B6I9	0.023
P24994	P23515	0.026
P24994	Q9UQF0	0.036
P24994	Q7Z410	0.023
P24994	O95661	0.052
P24994	Q9P0L0	0.055
P24994	P11362	0.040
P24994	A0A5A2	0.041
P24994	P21926	0.037
P24994	Q9HBW1	0.031
P24994	P07550	0.023
P24994	Q9NY46	0.039
P24994	P10644	0.054
P24994	Q14246	0.018
P24994	P63098	0.045
P24994	P35070	0.036
P24994	P17301	0.051
P24994	P47901	0.026
P24994	Q8N5I2	0.028
P24994	P23975	0.033
P24994	O75443	0.039
P24994	Q9NYM4	0.027
P24994	P32004	0.053
P24994	Q99677	0.014
P24994	A0A0J9YX35	0.032
P24994	P98172	0.036
P24994	O15245	0.023
P24994	Q9BQ51	0.030
P24994	P05362	0.037
P24994	P62745	0.049
P24994	P01876	0.028
P24994	P01375	0.033
P24994	P04629	0.035
P24994	Q8IVW8	0.023
P24994	P12314	0.024
P24994	P20648	0.043
P24994	P50993	0.064
P24994	Q9NP58	0.029
P24994	O15303	0.039
P24994	O43865	0.067
P24994	Q8N9M5	0.029
P24994	Q9UBL6	0.044
P24994	Q14439	0.033
P24994	P21796	0.055
P24994	P25024	0.015
P24994	P01715	0.025
P24994	P01906	0.029
P24994	P47900	0.023
P24994	Q9Y230	0.081
P24994	Q9H8T0	0.050
P24994	Q8N695	0.023
P24994	P15813	0.031
P24994	Q14392	0.027
P24994	Q9Y5I7	0.025
P24994	Q9BX67	0.031
P24994	O95471	0.027
P24994	O60503	0.072
P24994	P01130	0.035
P24994	P31321	0.047
P24994	A0A0B4J276	0.033
P24994	Q5T6X5	0.032
P24994	Q14916	0.019
P24994	P55085	0.019
P24994	P14416	0.035
P24994	P28335	0.032
P24994	P01703	0.024
P24994	O14798	0.033
P24994	P32926	0.040
P24994	Q16553	0.025
P24994	O95971	0.031
P24994	P29965	0.033
P24994	Q9UHI7	0.029
P24994	Q03405	0.022
P24994	B2RN74	0.008
P24994	P47211	0.023
P24994	O75976	0.063
P24994	Q14831	0.046
P24994	A0A075B6J6	0.025
P24994	Q86XT9	0.023
P24994	P29274	0.027
P24994	P21462	0.033
P24994	Q13304	0.020
P24994	Q9Y6L6	0.018
P24994	Q9BXA5	0.022
P24994	Q6IFH4	0.013
P24994	P08922	0.043
P24994	O43921	0.031
P24994	P32246	0.019
P24994	Q8NHV5	0.027
P24994	P01611	0.034
P24994	Q99466	0.048
P24994	Q96FX8	0.025
P24994	A0A0C4DH26	0.033
P24994	P13591	0.051
P24994	P08134	0.055
P24994	A6NFX1	0.021
P24994	P01730	0.036
P24994	Q96RF0	0.058
P24994	P05107	0.030
P24994	Q8NI35	0.071
P24994	P41217	0.021
P24994	P43005	0.037
P24994	P52798	0.022
P24994	O00468	0.054
P24994	Q9NPF0	0.026
P24994	P04839	0.027
P24994	A0A0B4J2H0	0.038
P24994	Q32ZL2	0.031
P24994	Q96EY1	0.055
P24994	Q8TDQ0	0.034
P24994	Q9H3Z4	0.043
P24994	Q9Y5H8	0.039
P24994	A0A0B4J1U3	0.027
P24994	P36888	0.036
P24994	P11717	0.093
P24994	P01764	0.041
P24994	P16070	0.069
P24994	Q9Y5F2	0.032
P24994	Q6PEY1	0.023
P24994	Q15084	0.055
P24994	P19256	0.025
P24994	P12319	0.024
P24994	Q9Y5Y4	0.024
P24994	Q9H313	0.027
P24994	Q01518	0.043
P24994	P06729	0.043
P24994	P40337	0.041
P24994	Q96J84	0.046
P24994	A0A0B4J275	0.039
P24994	P40879	0.027
P24994	A0A578	0.039
P24994	P34995	0.017
P24994	Q9Y5Y7	0.032
