human_unid	virus_unid	pred_score
P01375	Q9YLG5	0.071
P04629	Q9YLG5	0.073
Q8IVW8	Q9YLG5	0.081
P12314	Q9YLG5	0.103
P20648	Q9YLG5	0.047
P50993	Q9YLG5	0.059
Q9NP58	Q9YLG5	0.078
O15303	Q9YLG5	0.061
O43865	Q9YLG5	0.047
Q8N9M5	Q9YLG5	0.095
Q9UBL6	Q9YLG5	0.061
Q14439	Q9YLG5	0.062
P21796	Q9YLG5	0.063
P25024	Q9YLG5	0.084
P01715	Q9YLG5	0.082
P01906	Q9YLG5	0.106
P47900	Q9YLG5	0.064
Q9Y230	Q9YLG5	0.047
Q9H8T0	Q9YLG5	0.069
Q8N695	Q9YLG5	0.089
P15813	Q9YLG5	0.113
Q14392	Q9YLG5	0.069
Q9Y5I7	Q9YLG5	0.059
Q9BX67	Q9YLG5	0.087
O95471	Q9YLG5	0.076
O60503	Q9YLG5	0.047
P01130	Q9YLG5	0.069
P31321	Q9YLG5	0.082
A0A0B4J276	Q9YLG5	0.066
Q5T6X5	Q9YLG5	0.049
Q14916	Q9YLG5	0.077
P55085	Q9YLG5	0.045
P14416	Q9YLG5	0.059
P28335	Q9YLG5	0.048
P01703	Q9YLG5	0.071
O14798	Q9YLG5	0.075
P32926	Q9YLG5	0.057
Q16553	Q9YLG5	0.089
O95971	Q9YLG5	0.053
P29965	Q9YLG5	0.063
Q9UHI7	Q9YLG5	0.045
Q03405	Q9YLG5	0.087
B2RN74	Q9YLG5	0.058
P47211	Q9YLG5	0.096
O75976	Q9YLG5	0.065
Q14831	Q9YLG5	0.059
A0A075B6J6	Q9YLG5	0.088
Q86XT9	Q9YLG5	0.089
P29274	Q9YLG5	0.080
P21462	Q9YLG5	0.071
Q13304	Q9YLG5	0.068
Q9Y6L6	Q9YLG5	0.033
Q9BXA5	Q9YLG5	0.082
Q6IFH4	Q9YLG5	0.051
P08922	Q9YLG5	0.064
O43921	Q9YLG5	0.102
P32246	Q9YLG5	0.090
Q8NHV5	Q9YLG5	0.095
P01611	Q9YLG5	0.150
Q99466	Q9YLG5	0.047
Q96FX8	Q9YLG5	0.115
A0A0C4DH26	Q9YLG5	0.064
P13591	Q9YLG5	0.045
P08134	Q9YLG5	0.076
A6NFX1	Q9YLG5	0.048
P01730	Q9YLG5	0.067
Q96RF0	Q9YLG5	0.051
P05107	Q9YLG5	0.070
Q8NI35	Q9YLG5	0.046
P41217	Q9YLG5	0.063
P43005	Q9YLG5	0.059
P52798	Q9YLG5	0.125
O00468	Q9YLG5	0.046
Q9NPF0	Q9YLG5	0.107
P04839	Q9YLG5	0.063
A0A0B4J2H0	Q9YLG5	0.067
Q32ZL2	Q9YLG5	0.051
Q96EY1	Q9YLG5	0.054
Q8TDQ0	Q9YLG5	0.076
Q9H3Z4	Q9YLG5	0.092
Q9Y5H8	Q9YLG5	0.065
A0A0B4J1U3	Q9YLG5	0.131
P36888	Q9YLG5	0.054
P11717	Q9YLG5	0.081
P01764	Q9YLG5	0.102
P16070	Q9YLG5	0.045
Q9Y5F2	Q9YLG5	0.058
Q6PEY1	Q9YLG5	0.117
Q15084	Q9YLG5	0.068
P19256	Q9YLG5	0.055
P12319	Q9YLG5	0.074
Q9Y5Y4	Q9YLG5	0.096
Q9H313	Q9YLG5	0.079
Q01518	Q9YLG5	0.057
P06729	Q9YLG5	0.075
P40337	Q9YLG5	0.098
Q96J84	Q9YLG5	0.055
A0A0B4J275	Q9YLG5	0.045
P40879	Q9YLG5	0.052
A0A578	Q9YLG5	0.068
P34995	Q9YLG5	0.071
Q9Y5Y7	Q9YLG5	0.052
P01817	Q9YLG5	0.083
O00501	Q9YLG5	0.083
Q6UXM1	Q9YLG5	0.045
Q8NH07	Q9YLG5	0.065
Q07075	Q9YLG5	0.047
P16671	Q9YLG5	0.075
Q9HCJ2	Q9YLG5	0.084
O60641	Q9YLG5	0.037
Q92930	Q9YLG5	0.065
Q9NPD5	P04936	0.026
Q96EP9	P04936	0.084
Q9NRA2	P04936	0.046
P33032	P04936	0.039
P20309	P04936	0.043
A0A577	P04936	0.052
Q9UHC9	P04936	0.036
Q15286	P04936	0.055
Q96KG7	P04936	0.060
P04430	P04936	0.115
Q7Z5N4	P04936	0.060
P04234	P04936	0.065
P35372	P04936	0.039
Q96GR2	P04936	0.048
P21583	P04936	0.059
P51164	P04936	0.049
P41145	P04936	0.046
P49685	P04936	0.066
Q496F6	P04936	0.085
A0A597	P04936	0.063
O14626	P04936	0.050
P05129	P04936	0.051
Q01844	P04936	0.052
A0A0B4J241	P04936	0.042
P41587	P04936	0.052
P31995	P04936	0.068
Q9ULB1	P04936	0.055
P16144	P04936	0.040
A0A0C4DH25	P04936	0.148
P52799	P04936	0.071
O00526	P04936	0.064
Q14524	P04936	0.039
Q13255	P04936	0.034
Q96D42	P04936	0.059
P06312	P04936	0.061
Q13324	P04936	0.062
Q8NG94	P04936	0.054
Q8NH90	P04936	0.057
Q16512	P04936	0.049
P50151	P04936	0.038
P09619	P04936	0.044
O75056	P04936	0.041
Q9Y2C9	P04936	0.047
Q15700	P04936	0.055
Q7RTX0	P04936	0.037
Q9Y6J6	P04936	0.053
Q9NS75	P04936	0.043
P18084	P04936	0.046
Q16651	P04936	0.063
Q9UM47	P04936	0.033
P20020	P04936	0.049
A0A075B6S5	P04936	0.133
A0A0C4DH28	P04936	0.054
P56856	P04936	0.042
Q08357	P04936	0.048
P51677	P04936	0.087
P15529	P04936	0.075
Q9Y5X1	P04936	0.053
Q92629	P04936	0.046
Q6UXG2	P04936	0.061
Q9Y597	P04936	0.071
P08582	P04936	0.073
P01619	P04936	0.145
Q8NGM8	P04936	0.037
Q8NH83	P04936	0.065
P30531	P04936	0.082
Q04656	P04936	0.061
Q96CW1	P04936	0.043
Q9P2Y5	P04936	0.054
P20333	P04936	0.076
O14842	P04936	0.060
O95918	P04936	0.085
Q5BIV9	P04936	0.127
Q9BY14	P04936	0.036
A0A0K0K1B3	P04936	0.100
P01825	P04936	0.135
Q14242	P04936	0.037
P05186	P04936	0.063
Q92536	P04936	0.088
Q9GZN0	P04936	0.085
P47872	P04936	0.053
Q9NY25	P04936	0.040
P35613	P04936	0.069
P19397	P04936	0.064
O00241	P04936	0.047
Q5T601	P04936	0.031
P55087	P04936	0.040
Q8N144	P04936	0.108
A0A0C4DH69	P04936	0.140
Q6UQ28	P04936	0.057
Q92823	P04936	0.034
O43164	P04936	0.033
Q9UGH3	P04936	0.035
Q9NPB3	P04936	0.063
A0A5B7	P04936	0.049
P30988	P04936	0.110
Q9ULC5	P04936	0.041
Q969F8	P04936	0.070
Q04609	P04936	0.044
P48509	P04936	0.080
Q86VL8	P04936	0.049
P09326	P04936	0.052
O00398	P04936	0.067
Q3MIR4	P04936	0.047
A0A087WSY6	P04936	0.084
P46108	P04936	0.120
Q9NPC1	P04936	0.081
P22413	P04936	0.053
A0A075B6R0	P04936	0.059
P32418	P04936	0.048
P22455	P04936	0.035
Q12860	P04936	0.054
P01859	P04936	0.043
Q9NY91	P04936	0.055
Q86TG1	P04936	0.090
P31645	P04936	0.059
Q1EHB4	P04936	0.095
Q9UHX3	P04936	0.063
Q92887	P04936	0.047
O60716	P04936	0.038
O00206	P04936	0.051
P63211	P04936	0.069
P11168	P04936	0.078
P30989	P04936	0.031
P14778	P04936	0.054
Q8IU80	P04936	0.053
O43739	P04936	0.057
Q9NVZ3	P04936	0.047
P32248	P04936	0.051
O15374	P04936	0.037
P04211	P04936	0.055
Q9NWF4	P04936	0.040
P51654	P04936	0.061
P54762	P04936	0.065
P0DOY3	P04936	0.053
O14944	P04936	0.045
Q13936	P04936	0.052
Q96F05	P04936	0.027
Q01814	P04936	0.043
Q14118	P04936	0.049
O00476	P04936	0.077
Q8NH01	P04936	0.049
Q96NR3	P04936	0.037
Q9Y5Y0	P04936	0.067
P38484	P04936	0.067
O95477	P04936	0.041
P53985	P04936	0.039
P62079	P04936	0.105
P30968	P04936	0.069
A0A0B4J1X8	P04936	0.101
Q86V35	P04936	0.055
P0C623	P04936	0.043
Q86SQ3	P04936	0.050
P35968	P04936	0.071
Q14832	P04936	0.031
P24530	P04936	0.098
P63244	P04936	0.036
P07948	P04936	0.065
Q6UX82	P04936	0.038
Q8WWG1	P04936	0.049
Q92633	P04936	0.049
Q7Z2K8	P04936	0.041
P07949	P04936	0.059
P0DOY2	P04936	0.052
Q7RTX1	P04936	0.035
P11912	P04936	0.121
Q9HAB3	P04936	0.054
P20138	P04936	0.066
A0A0K0K1C4	P04936	0.071
P55042	P04936	0.056
A0A0K0K1D8	P04936	0.059
O75131	P04936	0.058
Q9BXN2	P04936	0.065
Q9P273	P04936	0.037
P36897	P04936	0.045
P47898	P04936	0.070
A0A0B4J1Y8	P04936	0.104
P21802	P04936	0.046
Q7RTY1	P04936	0.071
Q8IWV2	P04936	0.035
Q9BX59	P04936	0.056
Q9H3R2	P04936	0.035
O00533	P04936	0.055
P19235	P04936	0.067
A0A075B6I0	P04936	0.057
Q08708	P04936	0.125
P48039	P04936	0.114
A0A0B4J262	P04936	0.055
P48145	P04936	0.057
Q96B33	P04936	0.087
Q86YT6	P04936	0.037
P10912	P04936	0.046
Q9UHI5	P04936	0.059
Q99705	P04936	0.047
P21589	P04936	0.041
Q96R54	P04936	0.069
P13688	P04936	0.044
A0A075B6J2	P04936	0.056
Q9NYV7	P04936	0.075
P01624	P04936	0.102
A0A0C4DH41	P04936	0.157
P61224	P04936	0.061
Q02223	P04936	0.056
P25092	P04936	0.046
P40199	P04936	0.062
Q9Y345	P04936	0.040
P08913	P04936	0.081
Q58EX2	P04936	0.051
P0DP58	P04936	0.061
O43508	P04936	0.077
Q8IWE4	P04936	0.075
Q9Y2I2	P04936	0.057
Q86VB7	P04936	0.049
O15162	P04936	0.080
Q86WB7	P04936	0.070
Q2HXU8	P04936	0.043
P34810	P04936	0.063
P01704	P04936	0.089
Q9NR61	P04936	0.041
Q14973	P04936	0.072
P63000	P04936	0.058
Q13467	P04936	0.042
Q30154	P04936	0.067
O15393	P04936	0.050
P18848	P04936	0.058
P20273	P04936	0.035
P58743	P04936	0.061
Q5DID0	P04936	0.033
O14638	P04936	0.048
A0A0B4J274	P04936	0.048
A0A075B6K4	P04936	0.065
P32239	P04936	0.092
Q96NY8	P04936	0.042
P80748	P04936	0.157
P58173	P04936	0.053
P13569	P04936	0.040
Q86UF1	P04936	0.065
P82251	P04936	0.085
Q06787	P04936	0.065
P0CG01	P04936	0.077
P26006	P04936	0.037
P26718	P04936	0.094
P51681	P04936	0.053
P33151	P04936	0.046
Q9BZR6	P04936	0.053
P50150	P04936	0.047
Q96RI9	P04936	0.080
P63215	P04936	0.052
P49238	P04936	0.044
P56817	P04936	0.045
O15552	P04936	0.080
P63218	P04936	0.043
P01742	P04936	0.053
Q6ZQN7	P04936	0.061
Q9BV40	P04936	0.070
P54709	P04936	0.082
P01714	P04936	0.049
Q9HBB8	P04936	0.044
O60755	P04936	0.043
Q14773	P04936	0.070
P41146	P04936	0.047
P17181	P04936	0.026
P41968	P04936	0.066
P15144	P04936	0.038
Q7L0Q8	P04936	0.062
P47888	P04936	0.053
Q14330	P04936	0.057
P53618	P04936	0.041
O94856	P04936	0.069
P01717	P04936	0.073
P0DPF4	P04936	0.042
Q15303	P04936	0.045
P21709	P04936	0.051
O95867	P04936	0.101
P13945	P04936	0.051
Q9NRA1	P04936	0.077
P79483	P04936	0.071
P61586	P04936	0.065
Q16820	P04936	0.041
P22732	P04936	0.055
Q13002	P04936	0.053
Q8NH72	P04936	0.075
A0A0B4J248	P04936	0.076
P16871	P04936	0.071
P01706	P04936	0.150
Q9UNQ0	P04936	0.030
Q8NFP4	P04936	0.053
P0CG04	P04936	0.055
P0C7T3	P04936	0.069
Q8WY64	P04936	0.053
P51151	P04936	0.059
P62330	P04936	0.059
P56539	P04936	0.068
P01824	P04936	0.113
Q6UWL6	P04936	0.043
Q8TCW9	P04936	0.043
P06731	P04936	0.047
Q495A1	P04936	0.081
Q8NI17	P04936	0.041
P08174	P04936	0.044
P55899	P04936	0.078
Q15669	P04936	0.076
P51685	P04936	0.089
Q99075	P04936	0.093
Q15109	P04936	0.053
P01903	P04936	0.059
Q14574	P04936	0.045
P12931	P04936	0.043
P01861	P04936	0.048
Q92482	P04936	0.051
Q9BXT2	P04936	0.090
P01768	P04936	0.124
P60763	P04936	0.067
P21860	P04936	0.041
Q9NRM0	P04936	0.041
P22681	P04936	0.042
O94956	P04936	0.061
O14493	P04936	0.070
Q9NQC7	P04936	0.032
Q9NPH3	P04936	0.037
A0A0B4J234	P04936	0.063
P11234	P04936	0.053
P57735	P04936	0.049
P60507	P04936	0.061
A0A0B4J1Y9	P04936	0.047
A6NF89	P04936	0.044
Q5SSG8	P04936	0.051
Q9GZQ4	P04936	0.075
Q6UXK2	P04936	0.034
A0A1B0GX68	P04936	0.055
Q9BZM2	P04936	0.069
Q04900	P04936	0.048
P0DMS8	P04936	0.091
P0DP07	P04936	0.143
Q16625	P04936	0.099
A6ND48	P04936	0.057
P35916	P04936	0.041
Q5MY95	P04936	0.034
Q99497	P04936	0.046
O95500	P04936	0.053
Q15762	P04936	0.054
P04921	P04936	0.034
Q6UY09	P04936	0.043
P17813	P04936	0.051
Q9Y5N1	P04936	0.048
P49006	P04936	0.039
Q9HC73	P04936	0.087
Q8NHC7	P04936	0.072
P60953	P04936	0.046
Q9H2X3	P04936	0.047
Q9Y639	P04936	0.039
P15328	P04936	0.108
O15056	P04936	0.047
Q9UI14	P04936	0.065
P34903	P04936	0.038
P16473	P04936	0.053
P06315	P04936	0.056
Q9H665	P04936	0.065
O00222	P04936	0.042
P00533	P04936	0.037
P56748	P04936	0.051
Q13651	P04936	0.074
P29017	P04936	0.067
O14931	P04936	0.091
P35346	P04936	0.064
P48960	P04936	0.039
P50052	P04936	0.061
O95977	P04936	0.056
Q96FL8	P04936	0.067
A0A075B6U4	P04936	0.073
A0A075B6J1	P04936	0.070
Q9NP72	P04936	0.056
P46934	P04936	0.055
P01833	P04936	0.044
P13987	P04936	0.054
Q9NRM6	P04936	0.079
Q9UQ52	P04936	0.042
Q99578	P04936	0.050
Q96R67	P04936	0.058
P48165	P04936	0.055
A0A0G2JMI3	P04936	0.043
P41180	P04936	0.059
Q9UIA0	P04936	0.055
P55064	P04936	0.055
O00155	P04936	0.064
A0A0C4DH55	P04936	0.149
P06028	P04936	0.045
A0A0C4DH59	P04936	0.061
Q99624	P04936	0.056
Q14714	P04936	0.076
Q96CW9	P04936	0.056
Q9H244	P04936	0.060
Q96JJ6	P04936	0.049
P51686	P04936	0.041
Q9BPV8	P04936	0.051
Q8N4C7	P04936	0.045
P56750	P04936	0.049
A0A5A6	P04936	0.054
O00591	P04936	0.036
Q8NBV8	P04936	0.063
P21918	P04936	0.047
P57764	P04936	0.057
A0A075B6X5	P04936	0.041
O95069	P04936	0.081
P49841	P04936	0.044
P08588	P04936	0.053
Q96PL2	P04936	0.038
P60201	P04936	0.057
Q9H209	P04936	0.058
O00574	P04936	0.065
P02786	P04936	0.045
Q07021	P04936	0.046
Q8IZA0	P04936	0.045
A0A087WT02	P04936	0.056
Q9BZW8	P04936	0.103
Q9BY10	P04936	0.076
Q9Y5Y3	P04936	0.046
Q9UKL4	P04936	0.067
P14222	P04936	0.067
P42081	P04936	0.049
O14514	P04936	0.045
Q03431	P04936	0.045
P01116	P04936	0.056
Q8WWQ8	P04936	0.061
P32302	P04936	0.091
Q9P232	P04936	0.035
P60880	P04936	0.045
P04433	P04936	0.133
Q969P0	P04936	0.037
Q9UKP6	P04936	0.063
Q9Y6Q6	P04936	0.033
Q8NCK7	P04936	0.054
Q8TD46	P04936	0.063
Q9HBW0	P04936	0.055
Q99527	P04936	0.061
Q9UN74	P04936	0.046
P35590	P04936	0.053
P56880	P04936	0.053
P15260	P04936	0.031
P41597	P04936	0.091
P08571	P04936	0.058
Q8TCQ1	P04936	0.046
P20701	P04936	0.055
P48023	P04936	0.114
Q92956	P04936	0.072
P01780	P04936	0.077
Q8IVV8	P04936	0.069
P07333	P04936	0.040
Q9NT99	P04936	0.045
P61952	P04936	0.062
O43451	P04936	0.051
P49407	P04936	0.035
P11142	P04936	0.070
Q01726	P04936	0.085
Q14833	P04936	0.048
Q8NGU9	P04936	0.080
Q15761	P04936	0.044
A8K7I4	P04936	0.041
A0A087WSZ0	P04936	0.053
A0A0B4J244	P04936	0.044
B6A8C7	P04936	0.059
Q99603	P04936	0.035
Q9NQX3	P04936	0.040
P35348	P04936	0.035
Q14002	P04936	0.042
P0DP08	P04936	0.095
P41594	P04936	0.051
Q12836	P04936	0.047
Q9GZV3	P04936	0.050
Q8NHA6	P04936	0.070
Q7Z5A4	P04936	0.059
P08887	P04936	0.089
O15394	P04936	0.029
O15427	P04936	0.055
P40238	P04936	0.047
O43493	P04936	0.037
Q19T08	P04936	0.043
A0A0A0MT76	P04936	0.055
Q13698	P04936	0.061
P47871	P04936	0.080
P51801	P04936	0.055
O00212	P04936	0.057
Q8NG11	P04936	0.081
Q9BWQ8	P04936	0.075
Q9H1C0	P04936	0.045
P04216	P04936	0.090
P31323	P04936	0.052
A0A075B6I6	P04936	0.071
P49281	P04936	0.054
Q9NR16	P04936	0.059
A0A1B0GX51	P04936	0.064
P54756	P04936	0.056
P61550	P04936	0.050
Q15768	P04936	0.083
Q9NS67	P04936	0.075
Q9NSA0	P04936	0.047
O75581	P04936	0.060
P25103	P04936	0.037
P08473	P04936	0.052
P37088	P04936	0.046
P09104	P04936	0.060
P16234	P04936	0.049
Q9BZJ7	P04936	0.069
Q2M3R5	P04936	0.087
O43193	P04936	0.109
P60508	P04936	0.046
Q8WUM9	P04936	0.041
P08173	P04936	0.034
P84095	P04936	0.043
Q8NGF9	P04936	0.071
Q8TDS5	P04936	0.051
P31751	P04936	0.041
P53708	P04936	0.042
Q6ZS10	P04936	0.071
Q9NNX6	P04936	0.033
A0A0G2JS06	P04936	0.141
Q02413	P04936	0.051
Q7Z444	P04936	0.061
P21964	P04936	0.114
Q6YHK3	P04936	0.054
Q8N3J6	P04936	0.065
O14804	P04936	0.055
P43088	P04936	0.074
P60852	P04936	0.040
P08195	P04936	0.043
A0A075B6K5	P04936	0.061
Q9UMF0	P04936	0.043
O14610	P04936	0.047
P59768	P04936	0.047
P61077	P04936	0.135
P35232	P04936	0.051
P48167	P04936	0.054
P49771	P04936	0.081
A0A075B6W5	P04936	0.059
P24394	P04936	0.046
Q13740	P04936	0.039
P06241	P04936	0.044
P27701	P04936	0.066
Q8IWU6	P04936	0.053
O43914	P04936	0.107
Q86YL7	P04936	0.035
P46721	P04936	0.036
P29466	P04936	0.055
P01871	P04936	0.049
P58181	P04936	0.064
Q96E93	P04936	0.067
O75508	P04936	0.073
P29474	P04936	0.051
Q15375	P04936	0.053
P25021	P04936	0.062
A0A075B6K0	P04936	0.115
Q8TDM5	P04936	0.140
Q10589	P04936	0.047
P62491	P04936	0.051
Q99062	P04936	0.051
P01709	P04936	0.141
Q13336	P04936	0.074
Q7Z7D3	P04936	0.031
Q15743	P04936	0.075
P30939	P04936	0.049
Q9NYB5	P04936	0.044
P47883	P04936	0.061
P30872	P04936	0.050
Q8NGC2	P04936	0.072
O60412	P04936	0.071
O95183	P04936	0.068
Q9BRK3	P04936	0.077
Q99523	P04936	0.057
A0A0C4DH38	P04936	0.049
P48357	P04936	0.036
P35414	P04936	0.039
A0A0A6YYK7	P04936	0.045
Q9Y572	P04936	0.055
P06858	P04936	0.033
Q8NGP2	P04936	0.049
O95497	P04936	0.039
Q9NV96	P04936	0.049
Q13241	P04936	0.096
Q8IV16	P04936	0.118
Q9UBL9	P04936	0.072
O00161	P04936	0.049
P01854	P04936	0.059
A0A075B6R2	P04936	0.063
Q9H9S5	P04936	0.049
P30542	P04936	0.084
Q13491	P04936	0.047
Q9NX77	P04936	0.039
Q01650	P04936	0.066
Q96DU3	P04936	0.053
Q14254	P04936	0.041
Q9BXJ7	P04936	0.050
P50443	P04936	0.041
P55290	P04936	0.038
P30530	P04936	0.046
A0A0B4J273	P04936	0.059
Q8TDU6	P04936	0.053
P30273	P04936	0.066
P14735	P04936	0.043
P01699	P04936	0.096
P49682	P04936	0.113
O00159	P04936	0.037
Q12913	P04936	0.042
P29016	P04936	0.127
A0M8Q6	P04936	0.043
P17931	P04936	0.045
Q68D85	P04936	0.043
O43157	P04936	0.041
P13762	P04936	0.071
A0A0B4J240	P04936	0.061
Q8NA29	P04936	0.044
Q9Y5Q5	P04936	0.035
P56746	P04936	0.063
A0A0B4J249	P04936	0.060
P06733	P04936	0.055
P01911	P04936	0.077
P51160	P04936	0.067
P01772	P04936	0.101
P01743	P04936	0.047
Q8NGL9	P04936	0.054
P46663	P04936	0.063
Q7Z3B1	P04936	0.038
O60488	P04936	0.042
P08865	P04936	0.059
P43657	P04936	0.043
Q86UE6	P04936	0.039
P05023	P04936	0.047
A0A075B6S9	P04936	0.045
Q9BTN0	P04936	0.039
P01880	P04936	0.041
Q6UXB4	P04936	0.092
Q8TBE7	P04936	0.057
P25100	P04936	0.033
Q16445	P04936	0.034
Q9H4E5	P04936	0.048
P13473	P04936	0.037
Q08881	P04936	0.057
Q8WWA0	P04936	0.052
Q9Y271	P04936	0.080
Q92637	P04936	0.063
Q86Y78	P04936	0.133
Q96MU8	P04936	0.033
Q9GZZ7	P04936	0.080
Q9ULV4	P04936	0.047
P49190	P04936	0.040
A0A087WT01	P04936	0.049
Q5T442	P04936	0.061
P35368	P04936	0.027
Q9HBW9	P04936	0.036
P15391	P04936	0.061
P17948	P04936	0.055
Q9Y275	P04936	0.067
O95484	P04936	0.073
P61020	P04936	0.044
P0DSN7	P04936	0.054
Q9H228	P04936	0.078
O15551	P04936	0.064
P07911	P04936	0.059
P59922	P04936	0.062
A0A0C4DH68	P04936	0.076
Q53GD3	P04936	0.046
Q7RTY0	P04936	0.068
P01860	P04936	0.039
P14784	P04936	0.039
Q08828	P04936	0.028
P01602	P04936	0.067
O00299	P04936	0.071
Q9BRT3	P04936	0.072
P51157	P04936	0.034
P28223	P04936	0.045
Q8WY07	P04936	0.059
Q9H2Y9	P04936	0.047
P23083	P04936	0.037
O60500	P04936	0.055
P62834	P04936	0.069
Q12974	P04936	0.079
Q99467	P04936	0.035
P00918	P04936	0.065
O95274	P04936	0.067
P0CF74	P04936	0.115
A0A0B4J279	P04936	0.053
P54753	P04936	0.063
P01718	P04936	0.067
P16410	P04936	0.080
Q8NGY0	P04936	0.043
P0CG37	P04936	0.075
Q9UJU6	P04936	0.065
P0DP06	P04936	0.145
P19440	P04936	0.037
P43119	P04936	0.059
Q9UN72	P04936	0.055
Q86SQ4	P04936	0.047
P31391	P04936	0.103
P01763	P04936	0.126
P30874	P04936	0.047
Q9NQS3	P04936	0.033
Q8TCY5	P04936	0.089
Q8TDU9	P04936	0.071
Q7Z6A9	P04936	0.053
Q8N6F1	P04936	0.051
O75015	P04936	0.070
A0A075B6N1	P04936	0.055
P30556	P04936	0.047
Q0VAQ4	P04936	0.062
Q13449	P04936	0.045
O75144	P04936	0.051
Q8NGN8	P04936	0.043
Q9BXU9	P04936	0.059
P05556	P04936	0.051
Q9NSD7	P04936	0.058
Q12864	P04936	0.041
P49019	P04936	0.047
P52797	P04936	0.054
Q8TAF8	P04936	0.086
P07237	P04936	0.049
P25089	P04936	0.035
P07766	P04936	0.044
Q9NP59	P04936	0.051
P0DPF7	P04936	0.054
Q08462	P04936	0.035
Q02487	P04936	0.041
Q12884	P04936	0.046
Q14677	P04936	0.039
Q9UIQ6	P04936	0.041
A0A0C4DH39	P04936	0.043
Q9H3T3	P04936	0.053
Q14956	P04936	0.042
P0DP04	P04936	0.063
Q13258	P04936	0.047
A0A599	P04936	0.054
Q9Y5H9	P04936	0.046
P60033	P04936	0.051
P52569	P04936	0.074
Q13685	P04936	0.043
P25105	P04936	0.043
O43820	P04936	0.035
P19320	P04936	0.039
Q8NHP6	P04936	0.045
O75882	P04936	0.053
Q494U1	P04936	0.058
P22888	P04936	0.053
Q04721	P04936	0.029
Q96RI8	P04936	0.053
P30559	P04936	0.065
Q96GD0	P04936	0.053
Q9NSI5	P04936	0.043
P12821	P04936	0.055
P04440	P04936	0.095
Q9UKP4	P04936	0.041
P01857	P04936	0.054
P06756	P04936	0.043
O14894	P04936	0.093
Q8TD84	P04936	0.044
Q9HB89	P04936	0.059
Q8NGD3	P04936	0.042
A1KXE4	P04936	0.051
Q8IZP9	P04936	0.031
Q8NGX3	P04936	0.045
P55283	P04936	0.043
P04626	P04936	0.041
Q15391	P04936	0.058
A0A0B4J1V7	P04936	0.045
A0A0C4DH73	P04936	0.105
P48546	P04936	0.081
O94779	P04936	0.052
O95907	P04936	0.095
Q9P258	P04936	0.043
P21730	P04936	0.085
Q96G91	P04936	0.089
P01877	P04936	0.055
Q9Y694	P04936	0.067
P25705	P04936	0.039
P82279	P04936	0.047
Q86UN2	P04936	0.045
P01700	P04936	0.064
Q5HYA8	P04936	0.039
Q99732	P04936	0.059
Q86Y34	P04936	0.056
A0A584	P04936	0.049
Q96A25	P04936	0.039
P12830	P04936	0.038
P11169	P04936	0.071
P42857	P04936	0.061
A6NL08	P04936	0.058
P62166	P04936	0.047
Q2I0M4	P04936	0.061
P01732	P04936	0.101
P25090	P04936	0.045
Q86YD3	P04936	0.059
P11215	P04936	0.063
Q14623	P04936	0.075
P56747	P04936	0.083
Q8N7C0	P04936	0.071
P10636	P04936	0.047
P01138	P04936	0.043
A0A0B4J1V0	P04936	0.053
P78333	P04936	0.051
Q96BD0	P04936	0.044
O95498	P04936	0.051
Q9Y490	P04936	0.048
A0A589	P04936	0.062
P08172	P04936	0.039
Q13639	P04936	0.066
P16284	P04936	0.040
Q15077	P04936	0.057
Q8IYL9	P04936	0.062
A0A0B4J280	P04936	0.051
P08912	P04936	0.045
A0A0A0MS15	P04936	0.047
O14786	P04936	0.046
P08754	P04936	0.053
Q6UW56	P04936	0.047
P17302	P04936	0.061
P35462	P04936	0.045
B7Z8K6	P04936	0.047
Q8TDB8	P04936	0.083
P25942	P04936	0.049
Q6QNK2	P04936	0.043
Q14416	P04936	0.039
P17927	P04936	0.053
Q96DZ5	P04936	0.045
Q8NET5	P04936	0.040
P24158	P04936	0.061
P28222	P04936	0.069
Q9NY64	P04936	0.050
Q8N127	P04936	0.045
Q9P121	P04936	0.034
O95711	P04936	0.051
Q13492	P04936	0.033
P0C7T2	P04936	0.053
Q16620	P04936	0.039
Q86UG4	P04936	0.043
Q8WTT0	P04936	0.065
P25106	P04936	0.047
P11279	P04936	0.045
Q9NZQ7	P04936	0.055
Q15615	P04936	0.066
Q9NS93	P04936	0.057
P29972	P04936	0.076
Q8NFA2	P04936	0.055
Q8N158	P04936	0.041
P48146	P04936	0.058
O95136	P04936	0.074
A0A0B4J264	P04936	0.063
P63096	P04936	0.039
Q9Y6I3	P04936	0.047
P01721	P04936	0.071
Q8NGL4	P04936	0.043
A0A0K0K1A5	P04936	0.069
P40617	P04936	0.045
Q9H9K5	P04936	0.045
P46095	P04936	0.063
P14151	P04936	0.087
P25101	P04936	0.063
P42262	P04936	0.053
Q05586	P04936	0.043
A0A539	P04936	0.061
Q86SP6	P04936	0.039
P61006	P04936	0.047
Q86SM5	P04936	0.093
Q9H3T2	P04936	0.049
Q6ZSM3	P04936	0.041
P29317	P04936	0.068
Q695T7	P04936	0.045
P43004	P04936	0.040
P15151	P04936	0.055
Q8N912	P04936	0.095
P17081	P04936	0.049
Q969K3	P04936	0.053
P20036	P04936	0.072
P21731	P04936	0.056
P01767	P04936	0.046
Q9HC56	P04936	0.045
P22897	P04936	0.046
P01701	P04936	0.060
Q8N387	P04936	0.039
Q9UQD0	P04936	0.043
Q86YS7	P04936	0.045
